,RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2A,Q2B,Q2C,Q3A,Q3B,Q3C,Q3PARK,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q7J,Q7K,Q7L,Q7M,Q7N,Q7O,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9COM1,Q9COM2,Q9COM3,Q10,Q10COM1,Q10COM2,Q10COM3,Q11,Q12,Q12COM1,Q12COM2,Q12COM3,Q13A,Q13B,Q14A,Q14B,Q15,Q15A,Q15B,Q15C,Q16,Q17,Q18CITY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,Q22,Q23A,Q23B,LANG,WEIGHT
479,487,253,121,6,SAT,28,B,3,2,1,1,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,16:00:00,17:30:00,90,2,,,4,,,,2,2,1,1,1,2,1,6,3,6,5,5,6,5,5,5,6,6,6,6,6,4,1,,,,,5,6,6,4,4,4,0,,,5,2,,,2,,,,,5,4,5,5,2,,,,9,3,AMMAN,,,JORDAN,17,4,2,0,3,2,2,1,1.1156485207100593
480,488,252,121,6,SAT,28,B,3,2,1,1,SOUTHWEST,LOS ANGELES,4277,25,34,1,4,15:00:00,17:30:00,150,1,,,5,,,,1,1,1,1,2,1,1,5,2,3,5,6,4,4,4,5,6,6,6,6,6,4,104,,,,,5,6,6,4,4,4,0,,,5,15,,,2,,,,,6,5,5,4,2,,,,10,3,LOS ANGELES,CA,90027.0,US,10,2,1,1,2,2,2,1,1.1156485207100593
481,489,278,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,4:45 PM,18:40:00,115,2,,,9,,,,2,2,1,2,1,2,1,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,4,5,5,5,2,,,,10,3,LOS ANGELES,CA,91335.0,US,10,4,2,2,2,2,2,1,1.477877966101695
482,490,277,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:10 PM,18:40:00,90,1,,,5,,,,2,2,1,1,4,1,4,5,5,4,5,5,5,6,6,4,4,4,4,4,4,5,204,201.0,,,,5,5,5,5,5,5,0,,,5,16,,,1,5,1,,,5,4,5,5,2,,,,10,1,SAN FRANCISCO,CA,94122.0,US,1,5,2,4,2,2,1,1,1.477877966101695
483,491,276,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:30 PM,18:40:00,70,1,,,9,,,,2,1,2,1,6,1,4,5,5,5,5,5,4,5,5,5,5,6,4,6,3,5,0,,,,,5,3,4,4,5,4,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,SEATTLE,WA,98122.0,US,10,4,1,4,2,1,1,1,1.477877966101695
484,492,275,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,4:45 PM,18:40:00,115,2,,,9,,,,2,2,1,2,1,1,3,3,5,5,4,5,5,4,4,5,4,5,5,4,5,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,4,3,5,5,2,,,,9,3,OXNARD,CA,93036.0,US,10,4,2,3,2,2,1,1,1.477877966101695
485,493,274,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,17:00:00,18:40:00,100,1,,,1,,,1,2,1,1,2,5,1,3,4,4,4,5,5,4,6,6,2,3,1,6,1,6,4,75,7.0,,,,5,6,6,5,5,5,0,,,5,16,,,2,,,,,6,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,94114.0,US,1,3,1,4,2,1,1,1,1.477877966101695
486,494,273,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:30 PM,18:40:00,70,1,,,2,,,,0,0,2,2,4,1,4,5,5,4,5,5,4,6,6,5,5,3,6,6,6,5,14,,,,,3,0,0,0,3,3,0,,,3,6,,,1,5,2,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,94133.0,US,1,5,2,4,2,4,1,1,1.477877966101695
487,495,272,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,16:00:00,18:40:00,160,1,,,5,,,,2,1,2,1,3,1,1,3,3,3,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,6,6,6,4,5,5,1,,,5,1,3.0,,2,,,,,7,2,5,5,2,,,,7,3,AMSTERDAM,,,THE NETHERLANDS,15,5,2,4,1,1,2,1,1.477877966101695
488,496,271,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:40 PM,18:40:00,60,1,,,5,,,,2,1,2,2,6,1,2,3,3,3,4,2,3,6,6,3,4,3,6,2,6,3,0,,,,,4,6,6,4,3,3,0,,,4,0,,,1,5,1,,,5,3,4,4,2,,,,6,1,SAN FRANCISCO,CA,94109.0,US,1,3,2,0,1,4,1,1,1.477877966101695
489,497,270,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,N,18:40:00,N,1,,,5,,,,1,2,1,2,1,1,1,3,4,4,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,3,,,0,,,,,5,5,5,5,2,,,,10,3,WEST HOLLYWOOD,CA,90069.0,US,10,3,2,2,2,2,4,1,1.477877966101695
490,498,269,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,17:00:00,18:40:00,100,1,,,5,,,,2,1,2,2,1,1,2,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,202,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,0,5,5,1,32.0,,,8,3,BOSTON,MA,2130.0,US,12,3,2,4,2,2,2,1,1.477877966101695
491,499,268,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:40 PM,18:40:00,60,1,,,6,,,,2,1,1,2,5,1,4,4,4,4,3,3,3,3,3,3,3,3,4,3,6,4,0,,,,,4,4,6,4,3,4,0,,,4,0,,,2,,,,,5,4,4,5,2,,,,8,1,SAN FRANCISCO,CA,96127.0,US,1,5,1,4,1,2,1,1,1.477877966101695
492,500,267,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:45 PM,18:40:00,55,1,,,1,,,1,0,0,1,0,4,1,4,3,3,3,5,4,3,3,3,3,4,4,4,3,6,4,11,102.0,151.0,,,5,4,6,4,4,4,0,,,5,0,,,0,,,,,5,3,4,4,1,24.0,,,7,1,SAN FRANCISCO,CA,94105.0,US,1,4,2,2,2,1,1,1,1.477877966101695
493,501,266,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,4:50 PM,18:40:00,110,3,,,2,,,,1,1,2,1,3,1,4,4,4,4,4,4,4,5,5,5,4,4,4,6,6,5,0,,,,,4,4,6,5,5,5,0,,,4,0,,,1,5,2,,,5,4,5,5,2,,,,9,3,SANTA MONICA,CA,90405.0,US,10,7,2,1,2,2,2,1,1.477877966101695
494,502,265,154,8,MON,50,D,3,2,1,2,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:30 PM,18:40:00,70,1,,,5,,,,0,1,0,0,4,1,4,3,4,4,3,3,3,6,6,2,6,6,6,6,6,4,0,,,,,4,6,6,4,3,4,0,,,4,0,,,1,4,0,,,5,5,5,5,2,,,,10,3,LOS ANGELES,CA,90069.0,US,10,5,2,4,1,1,1,1,1.477877966101695
495,503,264,154,8,MON,50,D,3,2,1,1,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,17:00:00,18:40:00,100,2,,,2,,,,2,1,2,1,3,1,4,5,5,5,5,5,4,5,5,5,5,4,5,6,6,5,1,104.0,,,,5,4,6,4,4,4,0,,,5,1,2.0,,2,,,,,7,5,5,5,2,,,,10,1,SAN MATEO,CA,94402.0,US,2,2,1,2,2,2,2,1,1.477877966101695
496,504,263,154,8,MON,50,D,3,2,1,1,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,17:00:00,18:40:00,100,1,,,6,,,,2,2,2,2,3,1,4,4,6,6,3,4,4,6,6,5,2,6,5,6,6,4,52,,,,,5,5,6,6,5,5,0,,,5,9,,,2,,,,,5,5,5,5,2,,,,10,1,SAN CARLOS,CA,94070.0,US,2,3,1,4,2,1,2,1,1.477877966101695
497,505,262,154,8,MON,50,D,3,2,1,1,VIRGIN AMERICA,LOS ANGELES,938,30,34,1,4,5:30 PM,18:40:00,70,3,,,9,,,,2,2,2,1,3,1,4,5,5,5,5,5,5,6,6,5,5,5,5,6,5,5,5,33.0,,,,5,5,5,5,5,5,0,,,5,1,,,1,5,2,,,5,5,5,5,2,,,,10,3,LOS ANGELES,CA,90068.0,US,10,3,2,4,2,2,2,1,1.477877966101695
498,506,2057,351,22,MON,2,A,1,3,1,1,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,3,,,4,,,,1,2,2,2,2,1,3,5,4,4,4,4,4,4,4,4,4,3,4,3,1,4,0,,,,,5,6,4,4,4,4,0,,,5,15,,,2,,,,,5,5,5,3,2,,,,10,1,SAN FRANCISCO,CA,94118.0,US,1,4,2,2,1,2,1,1,0.723115625
499,507,2058,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:30:00,06:55:00,145,2,,,5,,,,1,2,2,1,4,1,2,5,4,4,5,4,5,6,6,5,5,6,5,6,6,4,0,,,,,5,5,6,5,4,4,0,,,5,0,,,0,,,,,1,5,5,5,2,,,,10,1,BERKELEY,CA,94704.0,US,3,2,1,1,3,2,1,1,0.723115625
500,508,2059,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,3,,,2,,,,1,1,2,1,1,1,4,5,6,5,5,5,5,5,5,5,5,4,6,6,6,0,3,,,,,5,6,6,6,5,5,0,,,4,0,,,2,,,,,5,5,5,4,2,,,,10,3,SANTIAGO,,,CHILE,14,3,1,1,3,2,2,1,0.723115625
501,509,2060,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,1,,,5,,,,2,1,2,2,6,1,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,0,,,,,3,3,4,3,3,3,0,,,3,0,,,2,,,,,7,3,3,3,2,,,,4,1,CUPERTINO,CA,95014.0,US,4,4,1,3,1,1,2,1,0.723115625
502,510,2061,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,2,,,3,,,,1,0,0,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,6,6,6,3,0,,,,,3,6,6,6,3,3,0,,,4,0,,,2,,,,,11,0,3,3,2,,,,6,3,VINA DEL MAR,,,CHILE,14,3,2,1,2,2,2,1,0.723115625
503,511,2062,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,1,,,4,,,,1,0,1,0,3,1,4,2,3,3,4,4,2,0,0,0,3,0,4,2,0,3,0,,,,,4,4,0,4,4,4,0,,,4,0,,,2,,,,,5,4,4,2,2,,,,7,1,SAN FRANCISCO,CA,,US,1,6,1,4,2,2,2,1,0.723115625
504,512,2063,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,1,,,5,,,,2,1,1,2,3,1,1,3,2,3,3,3,3,3,3,1,4,3,3,3,3,3,0,,,,,3,3,3,3,2,3,0,,,3,0,,,2,,,,,6,3,3,3,2,,,,5,1,FOSTER CITY,CA,,US,2,4,1,2,2,2,2,1,0.723115625
505,513,2064,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:00:00,06:55:00,175,2,,,2,,,,1,1,1,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,4,15,,,3,,,,,7,4,4,4,2,,,,9,1,SANTA CLARA,CA,95051.0,US,4,2,2,1,2,2,2,1,0.723115625
506,514,2065,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,3:50 AM,06:55:00,185,2,,,5,,,,1,1,0,1,1,2,1,4,2,3,3,4,3,3,3,5,6,6,3,6,4,5,102,,,,,5,5,5,5,3,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,10,3,SAN PEDRO SOLA,,,HONDURAS,14,4,2,3,2,2,2,1,0.723115625
507,515,2066,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:50 AM,06:55:00,125,3,,,2,,,,1,2,2,1,1,1,4,6,6,3,5,5,5,6,6,4,5,6,5,6,6,5,0,,,,,5,5,5,5,5,5,0,,,3,14,,,2,,,,,1,5,5,5,2,,,,5,1,OAKLAND,CA,94618.0,US,3,2,2,3,2,4,1,1,0.723115625
508,516,2067,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:50 AM,06:55:00,125,2,,,2,,,,1,2,2,1,1,1,4,6,6,6,3,5,3,6,6,4,3,3,6,6,6,4,205,,,,,4,6,6,6,6,4,0,,,3,11,,,2,,,,,1,5,5,4,2,,,,5,1,OAKLAND,CA,94611.0,US,3,2,2,2,2,2,1,1,0.723115625
509,517,2068,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,5:00:00,06:55:00,115,2,,,5,,,,1,2,2,1,3,2,4,2,3,3,2,3,3,1,1,4,3,2,4,3,6,4,1,101.0,75.0,60.0,,4,4,6,4,3,4,0,,,5,0,,,0,,,,,5,0,0,0,0,,,,11,1,SAN FRANCISCO,CA,94116.0,US,1,4,1,2,2,2,1,1,0.723115625
510,518,2069,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,3:20 AM,06:55:00,215,3,,,2,,,,1,2,2,2,1,1,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,,,,,5,5,5,5,5,5,0,,,4,0,,,1,5,0,,,2,4,4,4,2,,,,9,1,CONCORD,CA,94521.0,US,5,6,2,1,2,2,2,2,0.723115625
511,519,2070,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,N,06:55:00,N,3,,,2,,,,0,2,2,2,1,1,4,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,0,,,,,5,0,0,5,4,4,0,,,5,0,,,2,,,,,3,5,5,5,2,,,,10,3,FORMOSA,,,ARGENTINA,14,6,2,2,3,2,2,2,0.723115625
512,520,2071,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:50 AM,06:55:00,125,2,,,1,,,2,0,0,0,1,2,1,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,204,75.0,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,2,4,4,4,2,,,,8,1,LAFAYETTE,CA,,US,5,7,1,2,2,2,2,2,0.723115625
513,521,2072,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,N,06:55:00,N,2,,,0,,,,1,1,2,1,2,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,1,,,,,4,4,4,4,4,4,0,,,3,0,,,3,,,,,5,0,2,0,2,,,,10,1,,,,,90,6,2,1,2,2,2,2,0.723115625
514,522,2073,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:00:00,06:55:00,175,3,,,2,,,,1,0,0,0,1,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,,,,,6,6,6,0,3,3,0,,,5,0,,,1,4,0,,,2,4,3,3,2,,,,8,1,SAN PABLO,CA,94806.0,US,5,3,2,2,3,2,2,2,0.723115625
515,523,2074,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,4:40 AM,06:55:00,135,0,,,2,,,,1,2,2,2,1,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,,,,,5,5,5,5,5,5,0,,,3,6,,,1,5,1,,,5,5,5,5,2,,,,10,3,COMAYAGUA,,,HONDURAS,14,5,2,0,2,3,3,2,0.723115625
516,524,2075,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,N,06:55:00,N,0,,,2,,,,1,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,5,0,0,0,0,0,0,,,3,0,,,1,5,0,,,1,3,5,0,2,,,,1,0,,,,,99,5,2,0,4,2,4,2,0.723115625
517,525,2076,351,22,MON,2,A,1,3,1,2,AVIANCA,SAN SALVADOR,565,11,56,5,1,21:00:00,06:55:00,595,3,,,3,,,,1,0,0,1,1,1,2,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,51,,,,,5,0,0,5,5,5,0,,,5,16,,,3,,,,,11,5,3,5,2,,,,8,3,TORONTO,ON,,CANADA,13,4,2,2,3,1,4,3,0.723115625
518,526,2418,429,30,TUE,88,F,3,2,1,1,UNITED,NEWARK,1799,28,44,2,4,6:55 PM,20:50:00,115,3,,,9,,,,2,2,2,2,1,1,4,4,3,3,2,5,4,6,6,6,2,6,5,6,1,4,74,14.0,31.0,,,4,5,3,6,6,5,0,,,4,10,,,2,,,,,5,4,4,5,2,,,,10,3,HARINGTON PARK,NJ,7640.0,US,12,6,2,4,2,2,2,1,1.632960094637224
519,527,2419,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,7:30 PM,20:50:00,80,1,3.0,,5,,,,1,2,2,1,3,1,4,4,4,3,3,3,4,3,3,4,3,3,3,6,3,3,5,,,,,3,3,3,3,3,3,2,,,3,7,,,1,5,1,,,7,3,6,5,2,,,,7,1,MOUNTAIN VIEW,CA,94041.0,US,4,5,1,4,1,1,2,1,1.632960094637224
520,528,2420,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,18:30:00,20:50:00,140,2,,,5,,,,2,1,2,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,107,,,,,5,0,0,5,5,5,0,,,5,0,,,2,,,,,7,5,5,5,2,,,,10,3,JERSEY CITY,NJ,,US,12,3,1,0,2,2,2,1,1.632960094637224
521,529,2421,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,7:42 PM,20:50:00,68,1,,,1,,,1,2,2,2,2,4,1,4,5,3,3,4,4,4,2,2,3,4,3,6,3,6,4,12,17.0,,,,3,6,6,5,4,4,0,,,4,0,,,0,,,,,1,5,5,5,2,,,,8,1,FREMONT,CA,94536.0,US,3,4,1,4,1,1,1,1,1.632960094637224
522,530,2422,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,19:00:00,20:50:00,110,2,,,2,,,,1,2,2,2,2,1,3,4,4,4,4,4,4,6,6,6,6,6,6,6,6,4,0,,,,,5,6,6,0,0,0,0,,,0,0,,,0,,,,,0,0,0,0,0,,,,11,0,,,,,99,8,4,0,4,4,4,1,1.632960094637224
523,531,2423,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,7:30 PM,20:50:00,80,3,,,2,,,,2,2,2,3,3,1,2,3,3,3,4,5,4,3,4,3,4,6,6,6,6,4,73,,,,,4,6,6,6,3,4,0,,,5,0,,,3,,,,,7,3,2,4,2,,,,8,3,JERSEY CITY,NJ,7306.0,US,12,2,2,2,2,2,2,1,1.632960094637224
524,532,2424,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,11:00:00,20:50:00,590,2,3.0,,3,,,,1,2,2,1,1,1,1,5,5,3,4,5,4,5,5,5,6,6,6,6,6,5,0,,,,,5,6,6,5,4,5,0,,,5,4,,,0,,,,,11,5,5,5,2,,,,9,0,,,,,99,8,4,0,4,4,4,1,1.632960094637224
525,533,2425,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,19:00:00,20:50:00,110,2,,,2,,,,2,1,2,2,1,1,2,4,4,4,4,3,0,4,0,6,4,4,6,6,6,5,0,,,,,5,0,0,0,5,5,0,,,5,0,,,0,,,,,5,5,5,5,2,,,,10,3,NEW HAVEN,CT,6510.0,US,12,3,2,4,2,2,4,1,1.632960094637224
526,534,2426,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,17:00:00,20:50:00,230,2,3.0,,3,,,,0,0,1,1,4,1,2,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,14,,,,,6,6,6,5,5,5,0,,,5,0,,,0,,,,,11,0,0,0,1,51.0,,,10,3,NEW YORK,NY,,US,12,3,2,1,2,2,2,1,1.632960094637224
527,535,2427,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,7:30 PM,20:50:00,80,3,,,13,,,,2,2,2,2,3,1,3,4,4,3,4,4,4,4,3,3,4,3,3,3,3,4,0,,,,,4,4,4,4,4,4,0,,,4,0,,,1,5,0,,,9,3,4,4,2,,,,9,1,SONOMA,CA,,US,7,7,1,3,2,4,1,1,1.632960094637224
528,536,2428,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,20:00:00,20:50:00,50,2,,,3,,,,2,2,2,2,1,2,1,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,0,,,,,5,6,6,5,5,5,0,,,4,0,,,4,,,,,11,0,0,0,0,,,,11,0,,,,,99,8,4,0,4,4,4,1,1.632960094637224
529,537,2429,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,5:30 PM,20:50:00,200,3,,,3,,,,0,1,1,0,1,1,4,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,501,,,,,5,5,5,5,5,5,0,,,4,16,,,2,,,,,11,5,5,5,2,,,,10,2,MCKINLEYVILLE,CA,95519.0,US,10,5,1,2,2,2,2,1,1.632960094637224
530,538,2430,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,19:00:00,20:50:00,110,1,,,3,,,,2,1,2,2,4,1,3,6,4,3,3,4,3,6,6,6,6,6,6,6,6,5,0,,,,,5,6,6,4,0,5,0,,,5,0,,,2,,,,,11,3,4,6,2,,,,7,3,NEW YORK,NY,10036.0,US,12,3,1,3,1,2,2,1,1.632960094637224
531,539,2431,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,19:00:00,20:50:00,110,3,,,2,,,,2,1,1,2,4,1,4,4,2,3,5,5,4,4,3,6,4,6,6,6,6,5,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,1,3,5,5,2,,,,10,1,FREMONT,CA,94536.0,US,3,5,4,4,1,1,1,1,1.632960094637224
532,540,2432,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,19:00:00,20:50:00,110,3,,,13,,,,2,2,2,2,1,1,4,0,3,3,5,5,4,4,4,3,3,0,6,6,6,4,0,,,,,4,6,6,4,3,3,0,,,5,0,,,1,0,0,,,0,4,4,0,2,,,,8,3,GLEN ROCK,NJ,,US,12,6,2,0,2,2,2,1,1.632960094637224
533,541,2433,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,5:30 PM,20:50:00,200,1,,,9,,,,1,1,1,2,2,1,1,4,4,4,5,5,5,6,6,6,5,6,4,6,4,4,0,,,,,5,4,4,4,4,5,0,,,4,0,,,2,,,,,5,3,5,5,2,,,,9,3,,,,,99,3,2,0,2,2,2,1,1.632960094637224
534,542,2434,429,30,TUE,88,F,3,2,1,2,UNITED,NEWARK,1799,28,44,2,4,6:30 PM,20:50:00,140,3,,,3,,,,2,2,2,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5,1,,,5,0,,,2,,,,,11,5,5,5,2,,,,10,3,,,,,99,6,2,1,2,2,2,2,1.632960094637224
535,543,469,282,15,MON,25,B,2,1,1,1,SOUTHWEST,BURBANK,3172,25,8,1,1,11:00:00,13:00:00,120,2,,,9,,,,1,2,1,2,1,1,4,4,4,4,4,5,5,5,5,6,5,6,5,6,5,4,5,103.0,,,,5,5,5,5,4,5,0,,,5,16,,,1,3,1,,,6,5,5,5,2,,,,9,3,ARCADIA,CA,91006.0,US,10,4,1,3,2,2,2,1,1.1156485207100593
536,544,468,282,15,MON,25,B,2,1,1,1,SOUTHWEST,BURBANK,3172,25,8,1,1,10:45 AM,13:00:00,135,2,,,5,,,,1,2,2,2,3,1,1,4,5,5,5,5,5,5,5,5,5,6,6,6,6,5,0,,,,,5,6,6,5,5,5,0,,,4,11,,,1,5,1,,,5,4,4,4,2,,,,10,3,MANILA,,,PHILIPPINES,16,3,1,1,1,2,2,1,1.1156485207100593
537,545,470,282,15,MON,25,B,2,1,1,2,SOUTHWEST,BURBANK,3172,25,8,1,1,11:00:00,13:00:00,120,6,,,5,,,,1,2,2,2,1,1,4,3,3,3,3,3,3,3,6,6,4,6,6,6,6,3,6,,,,,4,6,6,6,6,3,0,,,3,6,,,1,5,0,,,5,3,3,3,2,,,,5,3,LOS ANGELES,CA,91423.0,US,10,6,1,4,2,2,1,1,1.1156485207100593
538,546,471,282,15,MON,25,B,2,1,1,2,SOUTHWEST,BURBANK,3172,25,8,1,1,11:40:00,13:00:00,80,3,,,2,,,,0,1,1,0,3,1,3,4,3,3,4,4,4,3,3,4,4,6,4,6,6,4,101,,,,,4,3,6,4,3,4,0,,,4,1,,,1,5,1,,,6,5,4,4,2,,,,8,3,GLENDORA,CA,91741.0,US,10,6,2,0,2,1,1,1,1.1156485207100593
539,547,472,282,15,MON,25,B,2,1,1,2,SOUTHWEST,BURBANK,3172,25,8,1,1,11:30 AM,13:00:00,90,2,,,5,,,,1,0,1,1,1,2,1,2,3,3,4,3,4,3,3,4,4,3,3,4,4,4,1,208.0,,,,4,4,4,4,3,4,0,,,3,2,,,2,,,,,5,4,5,5,2,,,,10,3,SUN VALLEY,CA,91605.0,US,10,3,2,1,2,2,2,1,1.1156485207100593
540,548,473,282,15,MON,25,B,2,1,1,2,SOUTHWEST,BURBANK,3172,25,8,1,1,11:30 AM,13:00:00,90,3,,,13,,,,0,0,0,1,1,1,4,0,6,6,5,5,5,6,6,4,6,6,6,6,6,5,0,,,,,5,6,6,6,5,5,0,,,5,16,,,1,5,1,,,9,3,5,5,2,,,,10,3,BELL CANYON,CA,91307.0,US,10,6,2,3,2,2,2,1,1.1156485207100593
541,549,474,282,15,MON,25,B,2,1,1,2,SOUTHWEST,BURBANK,3172,25,8,1,1,11:30 AM,13:00:00,90,2,,,13,,,,2,2,2,2,3,1,4,3,4,4,5,3,5,3,3,5,5,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,1,5,1,,,3,5,5,5,2,,,,10,3,SAN MARINO,CA,91108.0,US,10,7,2,4,2,2,2,1,1.1156485207100593
